Pathways,Liver related
KEGG_TYPE_I_DIABETES_MELLITUS,1
KEGG_TYPE_II_DIABETES_MELLITUS,1
KEGG_TYROSINE_METABOLISM,1
KEGG_UBIQUINONE_AND_OTHER_TERPENOID_QUINONE_BIOSYNTHESIS,1
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,1
KEGG_VARIOUS_TYPES_OF_N_GLYCAN_BIOSYNTHESIS,1
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,1
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,1
KEGG_VEGF_SIGNALING_PATHWAY,1
KEGG_VITAMIN_DIGESTION_AND_ABSORPTION,1
KEGG_WNT_SIGNALING_PATHWAY,1
KEGG_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES,1
KEGG_CAFFEINE_METABOLISM,1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,1
KEGG_PHENYLALANINE_TYROSINE_AND_TRYPTOPHAN_BIOSYNTHESIS,1
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,1
KEGG_PHOSPHONATE_AND_PHOSPHINATE_METABOLISM,1
KEGG_D_GLUTAMINE_AND_D_GLUTAMATE_METABOLISM,1
KEGG_D_ARGININE_AND_D_ORNITHINE_METABOLISM,1
KEGG_RIBOFLAVIN_METABOLISM,1
KEGG_VITAMIN_B6_METABOLISM,1
KEGG_BIOTIN_METABOLISM,1
KEGG_LIPOIC_ACID_METABOLISM,1
KEGG_SULFUR_METABOLISM,1
KEGG_SULFUR_RELAY_SYSTEM,1
KEGG_OXYTOCIN_SIGNALING_PATHWAY,1
