ENSEMBL_GENE_ID,baseMean__NAFL+NASHF0vsCTRL,log2FoldChange__NAFL+NASHF0vsCTRL,pvalue__NAFL+NASHF0vsCTRL,padj__NAFL+NASHF0vsCTRL,baseMean__NASHF12vsNAFL+F0,log2FoldChange__NASHF12vsNAFL+F0,pvalue__NASHF12vsNAFL+F0,padj__NASHF12vsNAFL+F0,baseMean__NASHF34vsNAFL+F0,log2FoldChange__NASHF34vsNAFL+F0,pvalue__NASHF34vsNAFL+F0,padj__NASHF34vsNAFL+F0,external_gene_name
ENSG00000154059,448.3427268,0.016130777,0.871990157,0.949432737,342,0.061027707,0.164433615,0.482274004,351,0.044518705,0.455617211,0.633864787,IMPACT
ENSG00000154065,55.74737244,0.477281463,0.112733058,0.366493062,49,0.489769724,0.001986482,0.055941732,56,0.808238185,1.10E-06,8.37E-05,ANKRD29
ENSG00000154079,113.8509756,-0.247385412,0.032417831,0.18691362,70,-0.078566973,0.121929479,0.41990158,77,-0.013477425,0.864407965,0.928682083,SDHAF4
ENSG00000154080,174.8555873,-0.092038284,0.817571433,0.925949628,227,0.822361981,2.53E-07,0.000332294,263,1.305481375,9.44E-14,1.38E-10,CHST9
ENSG00000154096,44.99081764,0.476921629,0.300343817,0.594105218,46,0.700667401,0.00086042,0.038250825,101,2.566348647,9.34E-16,2.66E-12,THY1
ENSG00000154099,71.69625361,0.07259028,0.601438523,0.814985132,40,-0.033173525,0.68821236,0.880758112,43,-0.1220559,0.251757593,0.43835607,DNAAF1
ENSG00000154102,10.90521662,0.10045183,0.716325942,NA,7,-0.155410309,0.155810252,0.472274742,7,-0.104777558,0.505881471,0.678052041,C16orf74
ENSG00000154114,555.935677,-0.401003017,0.000794794,0.023323761,388,-0.062498932,0.246783532,0.575850742,405,0.007054841,0.912634387,0.954883389,TBCEL
ENSG00000154118,3.317701198,-0.11550504,0.81435793,NA,3,-0.060264003,0.797939986,0.929096045,3,0.119218574,0.654750891,0.790873448,JPH3
ENSG00000154122,1313.455779,0.130108971,0.267308244,0.561076338,1040,-0.000900989,0.98257017,0.992650928,1049,0.000553617,0.993341801,0.996260991,ANKH
ENSG00000154124,1060.051779,-0.062183436,0.53426454,0.774577357,768,-0.00956012,0.80792667,0.932984422,775,-0.130756789,0.020048678,0.081718895,OTULIN
ENSG00000154127,90.51788316,0.668923033,0.00152235,0.03272819,66,-0.107850149,0.254699804,0.584176375,75,0.16379503,0.28054181,0.47145612,UBASH3B
ENSG00000154133,163.2083504,-0.24870423,0.257564545,0.553158755,120,-0.04864881,0.5656943,0.818120357,129,0.016931181,0.88572147,0.940448707,ROBO4
ENSG00000154134,20.74147412,-0.372687651,0.305579511,0.599507619,17,0.057497712,0.674956833,0.875855055,18,0.338513528,0.079065966,0.207638486,ROBO3
ENSG00000154144,576.9363801,-0.110859614,0.093470893,0.331086835,403,0.024489994,0.382399983,0.697062876,414,-0.004955807,0.899332282,0.947764702,TBRG1
ENSG00000154146,4.49961211,0.149212231,0.766447227,NA,3,-0.19087907,0.308692741,0.638336631,4,0.211604431,0.411473259,0.596034295,NRGN
ENSG00000154153,400.5969821,-0.264898837,3.70E-01,6.56E-01,255,-0.284765967,3.63E-02,2.35E-01,271,-0.242310063,1.09E-01,0.256863024,RETREG1
ENSG00000154162,68.5876191,-0.014508333,0.957984843,0.982763321,38,-0.055200097,6.55E-01,8.64E-01,41,-0.094768617,6.07E-01,7.56E-01,CDH12
ENSG00000154165,NA,NA,NA,NA,1,0.935108558,0.054570204,0.290598258,1,1.330669127,0.060329955,0.173545238,GPR15
ENSG00000154174,1945.767809,-0.149712705,0.049971939,0.236585375,1446,0.008737583,0.727675323,0.900202753,1421,-0.071770974,0.133982515,0.292214201,TOMM70
ENSG00000154175,257.2971549,-0.108371929,0.476465131,0.7347896,168,-0.04496885,0.518197746,0.790770012,182,0.042687014,0.688416087,0.813978238,ABI3BP
ENSG00000154188,49.61561301,0.052398323,0.87163116,0.949162738,34,-0.012071264,0.925444307,0.974583392,45,0.789414866,0.000166846,0.003133755,ANGPT1
ENSG00000154198,1.867143114,0.15898784,0.905440392,NA,1,-1.312561166,0.034881995,0.231289633,1,-0.802206303,3.11E-01,5.02E-01,CYP4Z2P
ENSG00000154217,260.2333823,0.248963846,0.068277921,0.278153037,192,-0.030386647,0.607236038,0.840962767,188,-0.129281745,0.11404115,0.2639246,PITPNC1
ENSG00000154222,410.1785152,-0.40047752,0.029358139,0.17666601,292,-0.05479731,0.464968733,0.755912008,301,-0.006135691,0.950071911,0.974669641,CC2D1B
ENSG00000154227,4.820322813,-0.606798362,0.540706111,NA,3,0.109011737,7.78E-01,9.21E-01,3,-0.152560019,8.01E-01,8.89E-01,CERS3
ENSG00000154229,1060.201231,-0.339870846,0.002843444,0.046337613,760,-0.063753993,0.24116867,0.569607046,770,-0.142484574,0.04401502,0.141099435,PRKCA
ENSG00000154237,134.3101217,-0.128992661,0.432933878,0.702492955,109,0.042651937,0.57731338,0.824208927,114,0.18450973,0.055066767,0.163305406,LRRK1
ENSG00000154240,148.5940253,-0.010682844,0.934276973,0.974151445,93,-0.049291627,0.418928018,0.72287114,101,0.030333081,0.726397769,0.838707053,CEP112
ENSG00000154252,1.885445776,-0.122557589,0.894734321,NA,1,-0.289735263,0.438694391,0.736968061,1,-0.322917277,0.49493306,0.668635716,GAL3ST2
ENSG00000154258,1399.021568,-0.293233712,0.068793496,0.279380568,838,-0.127175393,0.06504429,0.314743527,893,-0.215923039,0.032549429,0.11383961,ABCA9
ENSG00000154262,6457.790074,-0.4789497,0.002808693,0.045984185,4186,-0.166432364,0.005611831,0.097108588,4202,-0.323009989,0.000311627,0.00483859,ABCA6
ENSG00000154263,498.7409645,-0.475571952,0.149693005,0.421342051,299,-0.213474494,0.076440532,0.339377661,320,-0.192117846,0.203956743,0.382158545,ABCA10
ENSG00000154265,2594.199303,0.186773523,0.249802753,0.54513682,1808,-0.100174467,0.066196002,0.317792961,1768,-0.280712004,0.003958709,0.027594528,ABCA5
ENSG00000154269,153.2523645,-0.366486151,0.066143223,0.273620629,106,-0.051056212,0.611049882,0.842824017,101,-0.244182007,0.095081897,0.234495951,ENPP3
ENSG00000154274,567.719685,0.021326722,0.864219509,0.947095392,407,-0.033540004,0.533837981,0.800522379,404,-0.14941578,0.108479383,0.255690971,C4orf19
ENSG00000154277,5.70988518,0.201543757,0.832552615,NA,3,-0.495393711,0.169030067,0.487902385,5,0.919423754,0.047708757,0.148831914,UCHL1
ENSG00000154305,3671.960853,-0.015909767,8.38E-01,9.35E-01,2590,-0.030660758,3.34E-01,6.58E-01,2594,-0.146544871,0.017649658,0.075124413,MIA3
ENSG00000154309,256.038876,-0.267907571,0.009905417,0.095330329,169,0.044517102,0.418126799,0.722145909,182,0.106206339,0.154647708,0.321074157,DISP1
ENSG00000154310,143.6703602,-0.259662427,0.491875132,0.745701964,90,-0.422773765,0.001767373,0.053381576,117,0.384031906,0.054737687,0.162668738,TNIK
ENSG00000154316,1.29097812,-0.003369029,0.996561729,NA,1,-0.185585259,0.556213844,0.813555131,1,-0.630973298,0.179130053,0.352021374,TDH
ENSG00000154319,4.572970792,-0.289395588,0.495433334,NA,3,-0.044169519,0.852258689,0.950967089,4,0.545919523,0.030304626,0.108510349,FAM167A
ENSG00000154328,144.9980568,0.142466924,0.275969795,0.569660564,116,-0.026359524,6.88E-01,8.81E-01,111,-0.182511186,0.031553472,0.111522049,NEIL2
ENSG00000154330,208.2559341,0.191650907,2.60E-01,5.55E-01,148,-0.052486268,0.486743427,0.771607948,147,-0.166912102,0.084697797,0.217401204,PGM5
ENSG00000154358,134.0334404,0.017183478,0.938976177,0.977289879,125,-0.46782201,0.006570945,0.10455894,146,0.02811959,0.917886811,0.957361163,OBSCN
ENSG00000154359,279.3388295,-0.084831151,0.55032176,0.786145398,210,-0.008990528,0.887013358,0.961936489,214,0.04461258,6.25E-01,7.70E-01,LONRF1
ENSG00000154370,121.5871316,0.16858171,0.332301097,0.622843377,93,-0.018718405,0.765487299,0.915964955,95,-0.086152657,0.336032179,0.525288851,TRIM11
ENSG00000154380,548.7761128,-0.081754279,0.74053111,0.889117253,385,0.014540972,0.862217148,0.954814904,422,0.261209719,0.026444302,0.098935666,ENAH
ENSG00000154415,0.220594324,1.04334962,0.823590795,NA,0,0.523391195,0.689997503,0.881278762,0,0.122571448,0.947757461,0.973330213,PPP1R3A
ENSG00000154429,227.8444362,-0.204430128,0.022722845,0.153757202,157,-0.011603525,0.763654373,0.915515308,166,-8.19E-05,0.998904731,0.999373261,CCSAP
ENSG00000154438,17.30337368,0.354720863,0.174433425,NA,9,-0.201972662,5.53E-02,2.92E-01,10,-0.464169462,4.57E-03,3.03E-02,ASZ1
ENSG00000154447,322.5128407,-0.110074967,0.448184349,0.714092523,234,-0.11464303,0.047584416,0.270887778,240,-0.039715586,0.565444454,0.727054793,SH3RF1
ENSG00000154451,264.5411492,0.236058253,0.277002653,0.57065451,194,0.053964265,0.628907449,0.851660696,206,0.124890322,0.391406603,0.577886184,GBP5
ENSG00000154473,504.5657442,0.105901521,0.137372588,0.403608899,405,0.046752799,0.087163403,0.359918196,421,0.143113733,0.003228819,0.024325198,BUB3
ENSG00000154478,1.551000382,0.054126256,0.938895079,NA,1,0.262549195,3.23E-01,6.51E-01,1,0.118144612,0.770699013,0.8678374,GPR26
ENSG00000154479,16.8242617,-0.399594432,1.33E-01,NA,11,-0.003748727,9.74E-01,0.990240377,12,-0.023112778,8.82E-01,0.938029086,CCDC173
