ENSEMBL_GENE_ID,baseMean__NASHF12vsNAFL+F0,log2FoldChange__NASHF12vsNAFL+F0,pvalue__NASHF12vsNAFL+F0,padj__NASHF12vsNAFL+F0,baseMean__NASHF34vsNAFL+F0,log2FoldChange__NASHF34vsNAFL+F0,pvalue__NASHF34vsNAFL+F0,padj__NASHF34vsNAFL+F0,external_gene_name
ENSG00000172239,761,0.092567657,0.073309872,0.645101417,746,0.043697173,0.548832317,0.785888203,PAIP1
ENSG00000172243,63,0.21027151,1.01E-01,6.97E-01,66,0.380994549,1.12E-02,7.54E-02,CLEC7A
ENSG00000172244,7,0.005766725,0.97258353,0.995503143,8,0.251677104,0.124775465,0.353178291,C5orf34
ENSG00000172247,2,0.114019543,0.82498691,0.977380729,1,0.08989187,0.867057935,0.949150446,C1QTNF4
ENSG00000172260,3,-0.323053424,0.416181766,0.895067984,4,0.722790769,0.105992256,0.320041261,NEGR1
ENSG00000172262,244,0.059018243,0.274867897,0.834146758,252,0.064176164,0.281673376,0.561117286,ZNF131
ENSG00000172264,53,-0.112034965,0.299687763,0.847541249,57,0.018338963,0.894839909,0.960430974,MACROD2
ENSG00000172269,555,0.034901522,0.438317008,0.900553078,575,0.093865493,0.078952459,0.268099993,DPAGT1
ENSG00000172270,1392,0.004509246,0.955076733,0.993249335,1416,0.024462309,0.77240457,0.90750936,BSG
ENSG00000172273,150,-0.027211798,0.593698774,0.937270702,158,0.013206828,0.838438384,0.938161637,HINFP
