SYMBOL,baseMean_6N-WD-C0.2-FG-9W,log2FoldChange_6N-WD-C0.2-FG-9W,pvalue_6N-WD-C0.2-FG-9W,padj_6N-WD-C0.2-FG-9W,baseMean_6N-WD-C0.2-FG-29W,log2FoldChange_6N-WD-C0.2-FG-29W,pvalue_6N-WD-C0.2-FG-29W,padj_6N-WD-C0.2-FG-29W
Pcp2,4.926364443,-0.056297582,0.126538576,0.301274356,4.926364443,-0.084416657,0.023472815,0.07340906
Pcp4,4.824394542,0.019088079,0.766199886,0.877309037,4.824394542,-0.128585498,0.048289353,0.125154556
Pcp4l1,6.408481356,-0.16257326,0.001292411,0.011268212,6.408481356,0.098559608,0.047183906,0.123274334
Pcsk1,3.229633997,-0.009447924,0.714332016,0.846944374,3.229633997,-0.045726449,0.079892339,0.17963534
Pcsk1n,5.614339926,0.09556215,0.048067627,0.15872378,5.614339926,-0.050384653,0.294384845,0.440776221
Pcsk2,4.06935547,-0.006091284,0.867896205,0.933958338,4.06935547,-0.06141313,0.097148536,0.206305247
Pcsk4,6.446916161,0.061925188,0.109721015,0.275820253,6.446916161,-0.165801114,4.35E-05,0.000326221
Pcsk5,5.928711339,0.019173182,0.633357976,0.796431673,5.928711339,0.164771358,9.48E-05,0.000662462
Pcsk6,8.327238598,0.435289568,7.41E-09,6.22E-07,8.327238598,0.115065171,0.093162279,0.200678159
Pcsk7,6.44483957,0.109815418,0.01702065,0.07664516,6.44483957,-0.065304155,0.152332993,0.28044627
Pcsk9,7.332410828,-0.447416383,4.23E-08,2.63E-06,7.332410828,-0.756321589,3.00E-16,1.73E-14
Pctp,8.826647989,0.405039493,0.000796751,0.007748081,8.826647989,-0.087048537,0.457451432,0.593234398
Pcx,9.413620319,0.751739479,5.17E-15,2.27E-12,9.413620319,0.191662672,0.017186953,0.057643483
Pcyox1,9.383348413,0.196880292,0.040489446,0.140588156,9.383348413,0.237072722,0.01439954,0.050298095
Pcyox1l,5.692508063,0.074600677,0.075022524,0.213768869,5.692508063,0.037987463,0.362433841,0.505833019
Pcyt1a,7.351182878,0.020847049,0.763162284,0.875512926,7.351182878,0.054752531,0.430628322,0.568953274
Pcyt1b,3.262663784,0.001113632,0.974380601,0.9874408,3.262663784,0.054727641,0.118167599,0.236345599
Pcyt2,8.84938997,0.14491757,0.017875272,0.079106417,8.84938997,-0.236599171,0.000172589,0.001134314
Pdap1,6.922414772,0.063085535,0.038058899,0.134626558,6.922414772,-0.025654474,0.394982879,0.535575047
Pdc,2.739507904,0.111710775,0.026994941,0.105763999,2.739507904,-0.081612002,0.104635453,0.21703913
Pdcd1,5.119791759,-0.001675832,0.974139583,0.98737278,5.119791759,-0.009234883,0.8585938,0.906458699
Pdcd10,5.298110551,0.091509817,0.154979151,0.345471189,5.298110551,0.124243279,0.05533439,0.138015478
Pdcd11,6.415685356,-0.03203208,0.365582964,0.586098489,6.415685356,-0.135328808,0.000245504,0.001553736
Pdcd1lg2,4.208904019,-0.011458136,0.836998385,0.917512448,4.208904019,0.0273278,0.624747956,0.731740311
Pdcd2,6.10459923,0.029911972,0.312168091,0.531842928,6.10459923,-0.072467632,0.016090297,0.054708667
Pdcd2l,5.881409647,0.029268918,0.375959174,0.595011986,5.881409647,-0.029988637,0.365611346,0.508702336
Pdcd4,9.790696718,-0.239285013,0.002743042,0.020022992,9.790696718,-0.387414765,3.34E-06,3.18E-05
Pdcd5,6.162858782,0.002108081,0.948576197,0.973128977,6.162858782,-0.049040376,0.137152817,0.261186325
Pdcd6,7.509631602,0.034151894,0.552624164,0.739108234,7.509631602,-0.04837471,0.401976703,0.542496015
Pdcd6ip,8.765679212,0.16039618,0.011751347,0.05837072,8.765679212,0.074036207,0.238879681,0.382412122
Pdcd7,5.43060391,0.097761324,0.04289477,0.146385598,5.43060391,0.012684524,0.790789304,0.857825164
Pdcl,5.646254853,-0.093546564,0.019012792,0.082701886,5.646254853,-0.050589439,0.200494697,0.338740313
Pdcl2,2.820573697,-0.012210317,0.783191152,0.887698701,2.820573697,-0.040464793,0.36415006,0.507453292
Pdcl3,6.545097332,-0.02617296,0.547630668,0.737057745,6.545097332,0.087289204,0.047850021,0.124456546
Pddc1,6.462916306,0.061922784,0.190012965,0.391647798,6.462916306,0.087755877,0.065323807,0.155286126
Pde10a,4.330809457,0.038560819,0.242047114,0.455866959,4.330809457,0.102361459,0.002491828,0.0118397
Pde11a,3.870627035,-0.011333276,0.741345397,0.863250214,3.870627035,-0.06580215,0.058573018,0.143811714
Pde12,5.027149347,-0.043934779,0.404620468,0.620557978,5.027149347,-0.010905297,0.836209731,0.890084823
Pde1a,4.340023261,0.067962599,0.096270112,0.252250615,4.340023261,0.253239065,1.69E-08,2.43E-07
Pde1b,5.364707477,0.046392301,0.212900176,0.421649629,5.364707477,0.212818214,1.50E-07,1.84E-06
Pde1c,3.397433454,0.013887563,0.633742921,0.796669588,3.397433454,-0.052119234,0.077084624,0.174830469
Pde2a,7.315206842,0.154187031,0.007176794,0.040934384,7.315206842,0.085745224,0.130000448,0.252221241
Pde3a,5.014032733,0.14023155,0.00021694,0.002827217,5.014032733,0.202789586,2.96E-07,3.44E-06
Pde3b,7.768233374,0.203350766,0.050843432,0.164870415,7.768233374,-0.026107875,0.800300208,0.864685656
Pde4a,5.937276404,0.128540905,0.000147242,0.002099534,5.937276404,0.220986059,1.36E-09,2.36E-08
Pde4b,5.258776877,0.049201472,0.399466664,0.61557767,5.258776877,-0.156892618,0.008553679,0.033197459
Pde4c,5.908201957,0.001364945,0.968764658,0.984570269,5.908201957,-0.194516695,2.94E-07,3.42E-06
Pde4dip,7.080103177,-0.014182128,0.80274114,0.899032504,7.080103177,-0.130735817,0.023720328,0.073937999
Pde5a,4.425745773,0.099636207,0.006208871,0.036934389,4.425745773,0.387657419,1.18E-17,9.01E-16
Pde6a,3.78856096,-0.035005045,0.343543897,0.564658235,3.78856096,-0.032773862,0.376234017,0.518673509
Pde6b,3.649258044,0.007367075,0.82147837,0.909544745,3.649258044,-0.06271751,0.058036173,0.142847732
Pde6c,3.762497746,-0.008575415,0.784551876,0.888364359,3.762497746,-0.023203398,0.461241323,0.596820783
Pde6d,5.073056027,0.032068203,0.292485275,0.512502504,5.073056027,0.143250652,9.50E-06,8.29E-05
Pde6g,5.237554276,-0.024789755,0.611270737,0.780473053,5.237554276,-0.106207506,0.032083181,0.092833148
Pde6h,4.532486348,-0.017503163,0.687278879,0.829760455,4.532486348,-0.04844486,0.267981908,0.413109231
Pde7a,4.693136085,0.074438626,0.092555682,0.245702963,4.693136085,0.282737493,7.24E-09,1.11E-07
Pde7b,6.292731725,-0.008732934,0.863871494,0.932252693,6.292731725,0.147104803,0.004925972,0.021057094
Pde8b,4.805737821,0.007174289,0.786977862,0.889992949,4.805737821,-0.097399719,0.000426927,0.002555754
Pde9a,6.984162339,-0.107175357,0.130104624,0.306997319,6.984162339,-0.12893337,0.070163833,0.163621847
Pdf,6.899404453,0.064025104,0.170589742,0.366270562,6.899404453,-0.020110918,0.666068366,0.764302164
Pdgfa,6.409789976,0.162999953,0.000149314,0.002118744,6.409789976,0.135887393,0.001399768,0.007247254
Pdgfb,5.488501966,0.203254444,0.000309725,0.003725164,5.488501966,0.251518307,1.25E-05,0.000106277
Pdgfc,5.755487959,0.09860892,0.164910895,0.358549956,5.755487959,0.63152343,8.57E-14,3.04E-12
Pdgfd,4.701743662,-0.04510418,0.497249698,0.697741677,4.701743662,0.515471948,1.90E-11,4.45E-10
Pdgfra,5.584958872,0.107449816,0.036366231,0.130102702,5.584958872,0.592564348,3.26E-19,3.89E-17
Pdgfrb,6.560217315,0.245298834,0.001315466,0.011420155,6.560217315,0.71378355,3.39E-15,1.53E-13
Pdgfrl,4.253119829,0.125141338,0.003043447,0.02174727,4.253119829,0.071346825,0.086210147,0.189959599
Pdha1,8.105574867,0.107929673,0.35593511,0.576745897,8.105574867,0.134740238,0.251018904,0.395905896
Pdha2,2.741755211,0.060079559,0.288110462,0.507502818,2.741755211,-0.028565317,0.613474058,0.723067574
Pdhb,9.102637302,0.368078797,0.002532748,0.018833035,9.102637302,-0.094958873,0.425162833,0.56402696
